Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
Öl 2 †$,Algutsrums kyrka,Algutsrums sn,Algutsrums hd,Mörbylånga,6283750,1544290,Pr3,,sten
Öl 3 †$,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,6268390,1539280,Pr3 - Pr4?,,sten
Öl 4 $,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,6268390,1539280,Pr4,,sten
Öl 7 †$,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,6265940,1536510,Pr3,,sten
Öl 9 †,Kastlösa kyrka,Kastlösa sn,Gräsgårds hd,Mörbylånga,6259160,1538460,Pr2 - Pr3?,,sten
Öl 19 †,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,Pr4,,sten
Öl 31 $,Runstens kyrka,Runstens sn,Runstens hd,Borgholm,6286146,1554808,Pr3,,sten
Öl 34 †SENTIDA,Runstens kyrka,Runstens sn,Runstens hd,Borgholm,6286150,1554760,,,sten
Öl 42 †$,bron vid Gärdslösa kyrka,Gärdslösa sn,Runstens hd,Borgholm,6296547,1557031,RAK?,,sten
Öl 43 $,Gärdslösa kyrka,Gärdslösa sn,Runstens hd,Borgholm,6296674,1556961,Pr3 - Pr4,Oddvar (S),sten
Öl 48 $,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,6306078,1555725,?,,sten
Öl 49 †$,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,6306070,1555680,?,,sten
Öl 50 $UTGÅR,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,6306070,1555680,,,sten
Öl 55 †$,Högby kyrka,Högby sn,Åkerbo hd,Borgholm,6338240,1573270,?,,sten
Öl 56 $,Källa ödekyrka,Källa sn,Åkerbo hd,Borgholm,6332312,1571584,Pr3,,sten
Öl 57 †$,Källa ödekyrka,Källa sn,Åkerbo hd,Borgholm,6332312,1571584,Pr3 - Pr4?,,sten
Öl 58 †,Böda kyrka,Böda sn,Åkerbo hd,Borgholm,6347210,1575720,Pr3,,sten
Öl 59 †,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,6268390,1539280,,,sten
Öl ATA430/37;16,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,6268584,1539618,,,sten
Öl ATA4700/43,Gärdslösa kyrka,Gärdslösa sn,Runstens hd,Borgholm,6296674,1556961,,,sten
Öl ATA4376/56A $,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,,sten
Öl ATA4376/56B $,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,,sten
Öl ATA4377/56A,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,?,,sten
Öl ATA4064/60A $,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,6265963,1536554,,Ulf (S),sten
Öl ATA4064/60B,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,6265963,1536554,,,sten
Öl ATA4064/60C,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,6265963,1536554,,,sten
Öl ATA4976/70 $,Långlöts kyrka,Långlöts sn,Runstens hd,Borgholm,6290610,1556250,,,sten
