Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
Öl 6 $,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,6265940,1536510,Pr4,,sten
Öl 8 †M,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,6265940,1536510,,,sten
Öl 12 †$,Smedby kyrkogård,Smedby sn,Gräsgårds hd,Mörbylånga,6253443,1538727,Pr2 - Pr3?,,sten
Öl 14 †$,Södra Möckleby kyrkogård,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,6247800,1538090,?,,sten
Öl 15 †$,Södra Möckleby kyrkogård,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,6247800,1538090,RAK,,sten
Öl 16 †,Gräsgårds kyrkogård,Gräsgårds sn,Gräsgårds hd,Mörbylånga,6242620,1543480,Pr2,,sten
Öl 20 †,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,?,,sten
Öl 21 $,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,Pr3 - Pr4?,Nilsson attribuerar stenen till Korp.,sten
Öl 23 †$,Stenåsa kyrkogård,Stenåsa sn,Möckleby hd,Mörbylånga,6265500,1548960,Pr1 - Pr2,,sten
Öl 24 †$,Stenåsa kyrkogård,Stenåsa sn,Möckleby hd,Mörbylånga,6265500,1548960,?,,sten
Öl 26,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,6272863,1551353,Pr4,Samma som gjort Öl 27.,sten
Öl 27 $,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,6272850,1551350,Pr4,Samma som gjort Öl 26.,sten
Öl 28 $,Gårdby kyrkogård,Gårdby sn,Möckleby hd,Mörbylånga,6275109,1551101,Pr2?,Brand (S),sten
Öl 29 †,Gårdby kyrkogård,Gårdby sn,Möckleby hd,Mörbylånga,6275120,1551070,?,,sten
Öl 30 †$,Norra Möckleby kyrkogård,Norra Möckleby sn,Möckleby hd,Mörbylånga,6280360,1553610,?,,sten
Öl 47 $,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,6306080,1555677,Pr4,,sten
Öl 51 $,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,6306077,1555678,?,,sten
Öl 52 $,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,6306080,1555677,Pr4?,,sten
Öl 53 M,Alböke kyrkogård,Alböke sn,Slättbo hd,Borgholm,6313870,1559570,,,sten
Öl ATA4684/43A $,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,Nilsson anser stenen vara ristad av Korp.,sten
Öl ATA4684/43B $,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,Nilsson attribuerar stenen till Korp.,sten
Öl ATA4684/43C $,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,,sten
Öl ATA4684/43D,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,Nilsson attribuerar stenen till Assar.,sten
Öl ATA4701/43,Alböke kyrkogård,Alböke sn,Slättbo hd,Borgholm,6313876,1559575,Pr1 - Pr2? [Gräslund muntligt],,sten
Öl ATA4705/43,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258231,1547009,,,sten
Öl ATA4377/56B,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,,sten
Öl BN57 $,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,6272910,1551350,Pr4? [Gräslund muntligt],,sten
Öl Fv1917(2);27 $,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,6258229,1547014,,,sten
Öl KLM22910,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,6272910,1551350,,,sten
Öl Köping5,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,6306080,1555677,,,sten
Ög 3 †,Orlunda kyrkogård,Orlunda sn,Aska hd,Vadstena,6476907,1451684,,,sten
Ög 4 †,Orlunda kyrkogård,Orlunda sn,Aska hd,Vadstena,6476907,1451684,,,sten
Ög 5 $,Orlunda kyrkogård,Orlunda sn,Aska hd,Vadstena,6476907,1451684,,,sten
Ög 6 $,Orlunda kyrkogård,Orlunda sn,Aska hd,Vadstena,6476907,1451684,,,sten
Ög 32 $,Å kyrkogård,Å sn,Björkekinds hd,Norrköping,6486125,1540663,Fp,,sten
Ög 33 $,Å kyrkogård,Å sn,Björkekinds hd,Norrköping,6486122,1540667,RAK,,sten
Ög 49 $M,Rogslösa kyrkogård,Rogslösa sn,Dals hd,Vadstena,6473782,1437879,,,sten
Ög 61,Flistads kyrkogård,Flistads sn,Gullbergs hd,Linköping,6483684,1477102,RAK,,sten
Ög 65 †,Bjälbo kyrkogård,Bjälbo sn,Göstrings hd,Mjölby,6472380,1453180,?,,sten
Ög 66 $,Bjälbo kyrkogård,Bjälbo sn,Göstrings hd,Mjölby,6472366,1453172,Fp,,sten
Ög 67,Ekeby kyrkogård,Ekeby sn,Göstrings hd,Boxholm,6458981,1455471,RAK,,sten
Ög 75 $,Hovs kyrkogård,Hovs sn,Göstrings hd,Vadstena,6473183,1448098,,,sten
Ög 84 †,Högby kyrkogårdsport,Högby sn,Göstrings hd,Mjölby,6471010,1458710,RAK,Torkel (A),sten
Ög 85 †,Högby kyrkogårdsport,Högby sn,Göstrings hd,Mjölby,6471010,1458710,RAK,,sten
Ög 91 $,Järstads kyrkogård,Järstads sn,Göstrings hd,Mjölby,6474435,1462671,RAK,,sten
Ög 92 †,Väderstads kyrkogård,Väderstads sn,Göstrings hd,Mjölby,6465388,1449177,RAK,,sten
Ög 94 $,Harstads ödekyrkogård,Väderstads sn,Göstrings hd,Mjölby,6465555,1447602,Pr1,,sten
Ög 105 $,Kärna kyrkogård,Kärna sn,Hanekinds hd,Linköping,6477106,1483501,RAK,,sten
Ög 106,Kärna kyrkogård,Kärna sn,Hanekinds hd,Linköping,6477115,1483500,?,,sten
Ög 107,Kärna kyrkogård,Kärna sn,Hanekinds hd,Linköping,6477091,1483552,?,,sten
Ög 108,Kärna kyrkogård,Kärna sn,Hanekinds hd,Linköping,6477086,1483544,?,,sten
Ög 118,Slaka kyrkogård,Slaka sn,Hanekinds hd,Linköping,6471995,1485402,RAK,,sten
Ög 119 †,Slaka kyrkogårdsport,Slaka sn,Hanekinds hd,Linköping,6472030,1485400,RAK,,sten
Ög 120 †,Slaka kyrkogårdsmur,Slaka sn,Hanekinds hd,Linköping,6472030,1485400,RAK,,sten
Ög 121,Slaka kyrkogård,Slaka sn,Hanekinds hd,Linköping,6471998,1485416,RAK,,sten
Ög 136 $,Röks kyrkogård,Röks sn,Lysings hd,Ödeshög,6463973,1439596,RAK,,sten
Ög 145,Dagsbergs kyrkogårdsmur,Dagsbergs sn,Lösings hd,Norrköping,6495609,1529714,?,,sten
Ög 146 $,Dagsbergs kyrkogårdsmur,Dagsbergs sn,Lösings hd,Norrköping,6495621,1529712,Fp,,sten
Ög 153,"Styrstad, kyrkogårdsmuren",Styrstads sn,Lösings hd,Norrköping,6493274,1527057,?,,sten
Ög 154,"Styrstad, kyrkogårdsmuren",Styrstads sn,Lösings hd,Norrköping,6493277,1527049,Fp?,,sten
Ög 157 $,Tingstads kyrkogård,Tingstads sn,Lösings hd,Norrköping,6489706,1528378,RAK,,sten
Ög 161,Kimstads kyrkogård,Kimstads sn,Memmings hd,Norrköping,6490778,1509816,KB,,sten
Ög 181 $,Ledbergs kyrkogård,Ledbergs sn,Valkebo hd,Linköping,6479966,1479075,?,,sten
Ög 182,Ledbergs kyrkogård,Ledbergs sn,Valkebo hd,Linköping,6479934,1479068,?,,sten
Ög 184,"Sjögestad, kyrkogårdsmuren",Sjögestads sn,Valkebo hd,Linköping,6471590,1474625,Fp,,sten
Ög 185 †$,"Sjögestad, kyrkogårdsmuren",Sjögestads sn,Valkebo hd,Linköping,6471590,1474625,?,,sten
Ög 201 $,Veta kyrkogård,Veta sn,Vifolka hd,Mjölby,6470369,1467996,RAK,,sten
Ög 222 $,Törnevalla kyrkogårdsport,Törnevalla sn,Åkerbo hd,Linköping,6480917,1501420,RAK?,,sten
Ög 244,Viby kyrkogård,Viby sn,Vifolka hd,Mjölby,6471793,1471071,?,,sten
Ög Fv1975;174,Harstads ödekyrkogård,Väderstads sn,Göstrings hd,Mjölby,6465551,1447573,Fp,,sten
Sö 15,Gåsinge kyrkogård,Gåsinge sn (nu Gåsinge-Dillnäs),Daga hd,Gnesta,6552766,1580356,?,,sten
Sö 16 $,Kattnäs kyrkogård,Kattnäs sn,Daga hd,Gnesta,6551948,1585446,?,,sten
Sö 66,Sköldinge kyrkogård,Sköldinge sn,Oppunda hd,Katrineholm,6546275,1536126,Pr4,,sten
